status,reason,segment_count,parsed_segments,parse_errors,parse_notes,normalized_candidate,parsed_math,macro_boundary,first_error,ID,title,canonical_equation
Passed,,1,1.0,0,,\lim_{\tau\to\infty}\gamma(\tau)=p,"Eq(Limit(gamma(tau), tau, oo, dir='-'), p)","Eq(Limit(gamma(tau), tau, oo, dir='-'), p)",,ID0000,Existence and Uniqueness of the Trawin Zero Point,"\lim_{\tau\to\infty}\gamma(\tau)=p,"
Passed,,2,2.0,0,,"\forall \Gamma \subset M, \Gamma \sim \Lambda || \Lambda(0)=\Lambda(1/2)=p","forall*(Gamma*(M*subset)) || Eq(Eq(Lambda(0), Lambda(1/2)), p)","forall*(Gamma*(M*subset)) || Eq(Eq(Lambda(0), Lambda(1/2)), p)",,ID0001,Tzp Trawin Zero Point,"\forall \Gamma \subset M,\; \Gamma \sim \Lambda || \Lambda(0)=\Lambda(1/2)=p"
Passed,,2,2.0,0,,"\dim_{p}(M) \in {n-1,n,n+1} || \Delta_{\mathrm{branch}} : \Lambda \longrightarrow {n-1,n,n+1}",in*dim_{p}(M) || Delta_{mathrm*(b*(r*(a*(n*(c*h)))))}/Lambda,in*dim_{p}(M) || Delta_{mathrm*(b*(r*(a*(n*(c*h)))))}/Lambda,,ID0003,Dimensional Ambiguity at TZP,"\dim_{p}(M) \in \{n-1,n,n+1\} || \Delta_{\mathrm{branch}} : \Lambda \longrightarrow \{n-1,n,n+1\}"
Passed,,2,2.0,0,,"\phi : M \to M, \phi(p)=p || \phi(\Lambda)=\Lambda","phi/M || Eq(phi(Lambda), Lambda)","phi/M || Eq(phi(Lambda), Lambda)",,ID0005,TZP Stability Under Symmetry-Preserving Diffeomorphisms,"\phi : M \to M, \qquad \phi(p)=p || \phi(\Lambda)=\Lambda"
Passed,,2,2.0,0,,u_{T} = \oint_{\Gamma} \sqrt{\lvert g \rvert} d\ell || \operatorname{Wind}_{p}(\Gamma)=1,"Eq(u_{T}, oint_{Gamma}*(dell*sqrt(lvert*(g*rvert)))) || operatorname*(W*(i*(d*n)))","Eq(u_{T}, oint_{Gamma}*(dell*sqrt(lvert*(g*rvert)))) || operatorname*(W*(i*(d*n)))",,ID0006,Trawin Base Unit,"u_{T} := \oint_{\Gamma} \sqrt{\lvert g \rvert}\, d\ell || \operatorname{Wind}_{p}(\Gamma)=1"
Passed,,2,2.0,0,,\alpha_{T} = \frac{dt^{\prime}}{dt} || \alpha_{T}^{\mathrm{TZP}} = \lim_{\gamma \to p} \frac{dt^{\prime}}{dt},"Eq(alpha_{T}, Derivative(t**prime, t)) || Eq(alpha_{T}**(mathrm*(T*(P*Z))), Limit(Derivative(t**prime, t), gamma, p, dir='+-'))",,,ID0007,Temporal Displacement Factor,\alpha_{T} = \frac{dt'}{dt} || \alpha_{T}^{\mathrm{TZP}} = \lim_{\gamma \to p} \frac{dt'}{dt}
Passed,,2,2.0,0,,K_{\mathrm{NL}} = \frac{\lVert \nabla^{2}\Phi \rVert}{\lVert \nabla\Phi \rVert^{2}} || K_{\mathrm{NL}}^{\mathrm{TZP}} = \lim_{x \to p} \frac{\lVert \nabla^{2}\Phi(x) \rVert}{\lVert \nabla\Phi(x) \rVert^{2}},"Eq(K_{mathrm*(L*N)}, (lVert*(nabla**2*(Phi*rVert)))/((lVert*(nabla*(Phi*rVert**2))))) || Eq(K_{mathrm*(L*N)}**(mathrm*(T*(P*Z))), Limit((lVert*(nabla**2*(rVert*Phi(x))))/((lVert*(nabla*(rVert**2*Phi(x))))), x, p, dir='+-'))","Eq(K_{mathrm*(L*N)}, (lVert*(nabla**2*(Phi*rVert)))/((lVert*(nabla*(Phi*rVert**2))))) || Eq(K_{mathrm*(L*N)}**(mathrm*(T*(P*Z))), Limit((lVert*(nabla**2*(rVert*Phi(x))))/((lVert*(nabla*(rVert**2*Phi(x))))), x, p, dir='+-'))",,ID0008,Non-Linearity Constant K_NL,K_{\mathrm{NL}} = \frac{\lVert \nabla^{2}\Phi \rVert}{\lVert \nabla\Phi \rVert^{2}} || K_{\mathrm{NL}}^{\mathrm{TZP}} = \lim_{x \to p} \frac{\lVert \nabla^{2}\Phi(x) \rVert}{\lVert \nabla\Phi(x) \rVert^{2}}
Passed,,2,2.0,0,,I_{\mathrm{CL}} = \oint_{\Gamma} A \cdot dx || dA = 0 \mathrm{on} M \setminus {p},"Eq(I_{mathrm*(C*L)}, dx*(A*oint_{Gamma})) || Eq(dA, 0*(mathrm*((M*(p*setminus))*(n*o))))","Eq(I_{mathrm*(C*L)}, dx*(A*oint_{Gamma})) || Eq(dA, 0*(mathrm*((M*(p*setminus))*(n*o))))",,ID0011,Causal Loop Invariant,I_{\mathrm{CL}} = \oint_{\Gamma} A \cdot dx || dA = 0 \quad \text{on } M \setminus \{p\}
Passed,,2,2.0,0,,"P_{\mathrm{null}} : T_{p}M \to T_{p}M || P_{\mathrm{null}}(v) = \begin{cases} v, & g(v,w)=0 w \in T_{p}M,\ 0, & \end{cases}","P_{mathrm*(n*(u*(l*l)))}/((M*T_{p})) || Eq(P_{mathrm*(n*(u*(l*l)))}(v), begin*(v*(c*(a*(s*(e*s))))))","P_{mathrm*(n*(u*(l*l)))}/((M*T_{p})) || Eq(P_{mathrm*(n*(u*(l*l)))}(v), begin*(v*(c*(a*(s*(e*s))))))",,ID0013,Null Space Projection,"P_{\mathrm{null}} : T_{p}M \to T_{p}M || P_{\mathrm{null}}(v) = \begin{cases} v, & g(v,w)=0 \text{ for all } w \in T_{p}M,\\ 0, & \text{otherwise.} \end{cases}"
Passed,,2,2.0,0,,T_{\mathrm{IM}} = \frac{1}{u_{T}} \int_{\Sigma} \phi_{m_{1}}^{*} \mathcal{L}_{T} \phi_{m_{2}} d\Sigma || \Sigma \cap {p} = \varnothing,"Eq(T_{mathrm*(I*M)}, 1/u_{T}) || Eq(Sigma*(cap*p), varnothing)","Eq(T_{mathrm*(I*M)}, 1/u_{T}) || Eq(Sigma*(cap*p), varnothing)",,ID0014,Inter-Modal Transfer Rate,"T_{\mathrm{IM}} = \frac{1}{u_{T}} \int_{\Sigma} \phi_{m_{1}}^{*}\, \mathcal{L}_{T}\, \phi_{m_{2}}\, d\Sigma || \Sigma \cap \{p\} = \varnothing"
