spine,spine_slug,order,id,title,role,obligation_role,semantic_key,canonical_equation,wolfram_check,uuid
Vortex-Core Topological Fluid Dynamics,vortex_core_topological_fluid_dynamics,1,ID10334,Definition of A_connection,Connection carrier for gyro/magnetic circulation,Core_Definition,vortex_connection,A_connection = ω_gyro × r + (μ₀/4π) ∫ (J_gyro × (r - r'))/|r - r'|³,,8d9186b6-a6bc-5ad0-866c-f8630684806e
Vortex-Core Topological Fluid Dynamics,vortex_core_topological_fluid_dynamics,2,ID10335,Definition of F_curvature,Curvature generated from the vortex connection,Core_Definition,vortex_curvature,F_curvature = dA_connection + A_connection ∧ A_connection,aa_vortex_curvature_identity,fdd9d62b-2201-5769-bbb9-45e9ca978202
Vortex-Core Topological Fluid Dynamics,vortex_core_topological_fluid_dynamics,3,ID10337,Definition of ∂ρ/∂T + ∇·(ρv),Compressible continuity law with Alfvenic transport,Core_Axiom,vortex_continuity,∂ρ/∂t + ∇·(ρv) = -∇·(ρ_mag × v_Alfven),,3cc6ea0c-8b9d-5628-924f-692483c08ad6
Vortex-Core Topological Fluid Dynamics,vortex_core_topological_fluid_dynamics,4,ID10339,Definition of v_Alfven,Alfven velocity normalization,Core_Definition,vortex_alfven_velocity,v_Alfven = B/√(μ₀ρ),aa_vortex_alfven_positive,1a667210-68a1-5ed6-99d3-ab1fbfb3022f
Vortex-Core Topological Fluid Dynamics,vortex_core_topological_fluid_dynamics,5,ID10340,Definition of ω_gas,Gas-vorticity curl definition,Core_Definition,vortex_gas_vorticity,ω_gas = ∇ × v,,42cf7886-9e49-549d-9759-22737b27f52e
Vortex-Core Topological Fluid Dynamics,vortex_core_topological_fluid_dynamics,6,ID10343,Definition of Dω_total/Dt,Total-vorticity evolution law,Derived_Theorem_Obligation,vortex_evolution,Dω_total/Dt = (ω_total·∇)v + (B·∇)B/(ρμ₀),,34f338bf-33b3-5fa0-9634-35d1d9eb4c8a
Vortex-Core Topological Fluid Dynamics,vortex_core_topological_fluid_dynamics,7,ID10345,"Relation: M_local[r,θ,φ,t] = |v[r,θ,φ,t]|/c_sound[r,θ,φ,t]",Local Mach functional,Derived_Theorem_Obligation,vortex_mach_functional,"M_local[r,θ,φ,t] = |v[r,θ,φ,t]|/c_sound[r,θ,φ,t]",aa_vortex_mach_ratio,49069db3-4274-51ac-b340-ab65e4a9a35b
Vortex-Core Topological Fluid Dynamics,vortex_core_topological_fluid_dynamics,8,ID10350,"Relation: p_quantum[ρ,T] = (ℏ²/(2m)) × (∇√ρ)²/√ρ",Quantum pressure correction,Derived_Theorem_Obligation,vortex_quantum_pressure,"p_quantum[ρ,T] = (ℏ²/(2m)) × (∇√ρ)²/√ρ",,4a6de321-a917-5b3a-91e2-3ae39a53ba94
Vortex-Core Topological Fluid Dynamics,vortex_core_topological_fluid_dynamics,9,ID10358,V. Topological Phase Structure: Quantum Vortex Gas: n_critical[T],Critical vortex-gas density,Derived_Theorem_Obligation,vortex_critical_density,n_critical[T] = (2π m k_B T/h²)^(3/2) × ζ[3/2],,e21919fc-4ae5-50d9-aefe-06c50b45b7d1
Vortex-Core Topological Fluid Dynamics,vortex_core_topological_fluid_dynamics,10,ID10359,V. Topological Phase Structure: Quantum Vortex Gas: iℏ ∂Ψ/∂T,Rotating Gross-Pitaevskii closure,Derived_Theorem_Obligation,vortex_phase_closure,iℏ ∂Ψ/∂t = (-ℏ²∇²/(2m) + V_trap + g|Ψ|² - Ω·L̂) Ψ,,4a102745-6483-5a5d-be63-987c6cf78470
DNA-TZPQVS Isomorphism,dna_tzpqvs_isomorphism,1,ID10488,Definition of L_adenine,Adenine transition Lindblad operator,Core_Definition,dna_lindblad_adenine,L_adenine = √γ_A |A⟩⟨G| ⊗ σ_+^{TZP},,bf2a87da-e14c-54d6-91eb-60359f3fe7b7
DNA-TZPQVS Isomorphism,dna_tzpqvs_isomorphism,2,ID10489,Definition of L_cytosine,Cytosine transition Lindblad operator,Core_Definition,dna_lindblad_cytosine,L_cytosine = √γ_C |C⟩⟨T| ⊗ σ_-^{TZP},,d04115c8-079d-5d6b-b9b8-3de2a87c35e5
DNA-TZPQVS Isomorphism,dna_tzpqvs_isomorphism,3,ID10490,Definition of L_guanine,Guanine transition Lindblad operator,Core_Definition,dna_lindblad_guanine,L_guanine = √γ_G |G⟩⟨A| ⊗ σ_x^{TZP},,847cfe96-8505-5035-8625-4a2678aad8ff
DNA-TZPQVS Isomorphism,dna_tzpqvs_isomorphism,4,ID10491,Definition of L_thymine,Thymine transition Lindblad operator,Core_Definition,dna_lindblad_thymine,L_thymine = √γ_T |T⟩⟨C| ⊗ σ_y^{TZP},,3e961d53-70fd-5147-bdc0-a9530a6175d4
