status,reason,segment_count,parsed_segments,parse_errors,parse_notes,normalized_candidate,parsed_math,macro_boundary,first_error,ID,title,canonical_equation
Approximated Parse,unsupported LaTeX simplified,2,2.0,0,unsupported LaTeX simplified,"S_{\mathrm{HD}} = \int_{\mathcal U} \sqrt{\lvert \det h \rvert} d^{n}x || \mathcal U \ni p, \dim_{p}(M)\in{n-1,n,n+1}","Eq(S_{mathrm*(D*H)}, Integral(d**n*x*sqrt(Abs(h)), et)) || mathcal*(U*(ni*p))","Eq(S_{mathrm*(D*H)}, Integral(d**n*x*sqrt(Abs(h)), et)) || mathcal*(U*(ni*p))",,ID0009,Hyper-Dimensional Span,"S_{\mathrm{HD}} := \int_{\mathcal U} \sqrt{\lvert \det h \rvert}\, d^{n}x || \mathcal U \ni p, \qquad \dim_{p}(M)\in\{n-1,n,n+1\}"
Approximated Parse,unsupported LaTeX simplified,2,2.0,0,unsupported LaTeX simplified,"Q = \int_{\Sigma} J^{\mu} d\Sigma_{\mu} || \nabla^{\mathrm{T}}_{\mu}J^{\mu}=0, Q=w","Eq(Q, (i*(g*(a_{m*u}*m)))*Integral(J**(m*u), S)) || Eq(J**mu*nabla**(T*mathrm), 0)","Eq(Q, (i*(g*(a_{m*u}*m)))*Integral(J**(m*u), S)) || Eq(J**mu*nabla**(T*mathrm), 0)",,ID0025,Conservation Law: TZP Topological Charge,"Q = \int_{\Sigma} J^{\mu}\, d\Sigma_{\mu} || \nabla^{\mathrm{T}}_{\mu}J^{\mu}=0, \qquad Q=w"
Approximated Parse,unsupported LaTeX simplified,2,2.0,0,unsupported LaTeX simplified,\frac{dI}{dt}=0 || I = \int_{\Gamma} T^{\mu\nu}\xi_{\nu} d\Sigma_{\mu},"Eq(Derivative(I, t), 0) || Eq(I, (i*(g*(a_{m*u}*m)))*Integral(T**(m*(u*(n*u)))*xi_{n*u}, S))","Eq(I, (i*(g*(a_{m*u}*m)))*Integral(T**(m*(u*(n*u)))*xi_{n*u}, S))",,ID0026,Conservation Law: Information Flux Through TZP,"\frac{dI}{dt}=0 || I = \int_{\Gamma} T^{\mu\nu}\xi_{\nu}\, d\Sigma_{\mu}"
Approximated Parse,unsupported LaTeX simplified,2,2.0,0,unsupported LaTeX simplified,T(\nabla^{\mathrm{T}})=0 (x\neq p) || \int_{\mathcal N} T^{a}{}_{bc} d^{n}x = N^{a}{}_{bc},"Eq(T(nabla**(T*mathrm)), 0) || Integral(T**a, x)","Eq(T(nabla**(T*mathrm)), 0) || Integral(T**a, x)",,ID0028,Constraint: TZP Torsion Localisation,"T(\nabla^{\mathrm{T}})=0 \qquad (x\neq p) || \int_{\mathcal N} T^{a}{}_{bc}\,d^{n}x = N^{a}{}_{bc}"
Approximated Parse,unsupported LaTeX simplified,2,2.0,0,unsupported LaTeX simplified,\mathcal{H}_{\mathrm{T}} = \pi \dot{\phi} -\mathcal{L}_{\mathrm{T}} || \pi = \frac{\partial \mathcal{L}_{\mathrm{T}}}{\partial \dot{\phi}},"H*mathcal || Eq(i*p, (L_{T*mathrm}*partial)/((partial*(dot*phi))))","H*mathcal || Eq(i*p, (L_{T*mathrm}*partial)/((partial*(dot*phi))))",,ID0029,Trawinistic Hamiltonian Density,"\mathcal{H}_{\mathrm{T}} = \pi\,\dot{\phi} -\mathcal{L}_{\mathrm{T}} || \pi = \frac{\partial \mathcal{L}_{\mathrm{T}}}{\partial \dot{\phi}}"
Approximated Parse,unsupported LaTeX simplified,2,2.0,0,unsupported LaTeX simplified,"S[\phi] = \int_{M} \mathcal{L}_{\mathrm{T}} ( \phi,\nabla^{\mathrm{T}}\phi,g ) d^{n}x || \mathcal{L}_{\mathrm{T}} = \mathcal{L}_{\mathrm{kin}} + \mathcal{L}_{\mathrm{pot}} + \mathcal{L}_{\mathrm{curv}}","Eq(S*phi, Integral((d**n*x)*L_{T*mathrm}(phi, nabla**(T*mathrm)*phi, g), x)) || L*mathcal","Eq(S*phi, Integral((d**n*x)*L_{T*mathrm}(phi, nabla**(T*mathrm)*phi, g), x)) || L*mathcal",,ID0032,Action Functional on Trawinistic Manifolds,"S[\phi] = \int_{M} \mathcal{L}_{\mathrm{T}} \bigl( \phi,\nabla^{\mathrm{T}}\phi,g \bigr)\, d^{n}x || \mathcal{L}_{\mathrm{T}} = \mathcal{L}_{\mathrm{kin}} \;+\; \mathcal{L}_{\mathrm{pot}} \;+\; \mathcal{L}_{\mathrm{curv}}"
Approximated Parse,unsupported LaTeX simplified,2,2.0,0,unsupported LaTeX simplified,L = \int_{V} ( \mathbf{r}\times\mathbf{J} ) d^{3}x || \frac{dL}{dt} = \int_{V} ( \mathbf{J}\times\mathbf{B} ) d^{3}x,"Eq(L, Integral((J*r)*(d**3*x), x)) || Eq(Derivative(L, t), Integral((B*J)*(d**3*x), x))","Eq(L, Integral((J*r)*(d**3*x), x))",,ID0037,Emergent Rotation Principle,"L = \int_{V} \bigl( \mathbf{r}\times\mathbf{J} \bigr)\,d^{3}x || \frac{dL}{dt} = \int_{V} \bigl( \mathbf{J}\times\mathbf{B} \bigr)\,d^{3}x"
Approximated Parse,unsupported LaTeX simplified,2,2.0,0,unsupported LaTeX simplified,"H = \int_{V}\mathbf{A}\cdot\mathbf{B} d^{3}x || H = w \Phi, w \in \mathbb{Z}","Eq(H, intA*(B*(d**3*x))) || Eq(H, Phi*w)","Eq(H, intA*(B*(d**3*x))) || Eq(H, Phi*w)",,ID0041,Topological Helicity Quantisation,"H = \int_{V}\mathbf{A}\cdot\mathbf{B}\,d^{3}x || H = w\,\Phi, \qquad w \in \mathbb{Z}"
Approximated Parse,unsupported LaTeX simplified,2,2.0,0,unsupported LaTeX simplified,\mathcal{M}[\rho] = \sum_{k} M_{k}\rho M_{k}^{\dagger} - \rho || \sum_{k} M_{k}^{\dagger}M_{k} = I,"Eq(M*(r*(h*o)), S_{k}*(M_{k}*(r*(h*(M_{k}*o))))) || M_{k}*S_{k}","Eq(M*(r*(h*o)), S_{k}*(M_{k}*(r*(h*(M_{k}*o))))) || M_{k}*S_{k}",,ID0063,Measurement Back-Action,\mathcal{M}[\rho] = \sum_{k} M_{k}\rho M_{k}^{\dagger} - \rho || \sum_{k} M_{k}^{\dagger}M_{k} = I
Approximated Parse,unsupported LaTeX simplified,2,2.0,0,unsupported LaTeX simplified,\mathcal{E}:\rho \mapsto \mathcal{E}(\rho) || \mathcal{E}(\rho) = \sum_{k} K_{k}\rho K_{k}^{\dagger},"(E*mathcal)/((rho*(mapsto*(mathcal*(E*rho))))) || Eq(E(r*(h*o)), S_{k}*(K_{k}*(r*(h*(K_{k}*o)))))","(E*mathcal)/((rho*(mapsto*(mathcal*(E*rho))))) || Eq(E(r*(h*o)), S_{k}*(K_{k}*(r*(h*(K_{k}*o)))))",,ID0073,Quantum Channels and Maps,\mathcal{E}:\rho \mapsto \mathcal{E}(\rho) || \mathcal{E}(\rho) = \sum_{k} K_{k}\rho K_{k}^{\dagger}
Approximated Parse,unsupported LaTeX simplified,2,2.0,0,unsupported LaTeX simplified,"(\mathcal{E}\otimes \mathbb{I}_{n})(X) \geq 0 \forall n, X \geq 0 || \operatorname{Tr}(\mathcal{E}(\rho)) = \operatorname{Tr}(\rho)","Eq(X*(E*I_{n}), 0*(forall*n)) || Eq(operatorname*((T*r)*(mathcal*(E*rho))), operatorname*(rho*(T*r)))","Eq(X*(E*I_{n}), 0*(forall*n)) || Eq(operatorname*((T*r)*(mathcal*(E*rho))), operatorname*(rho*(T*r)))",,ID0074,Completely Positive Trace-Preserving Maps,"(\mathcal{E}\otimes \mathbb{I}_{n})(X) \geq 0 \qquad \forall n,\; X \geq 0 || \operatorname{Tr}\!\left(\mathcal{E}(\rho)\right) = \operatorname{Tr}(\rho)"
Approximated Parse,unsupported LaTeX simplified,3,3.0,0,unsupported LaTeX simplified,"H^3(\mathcal{M}_{\mathrm{lem}},U(1))\cong \mathbb{Z} || [\mathcal{G}_{\mathrm{top}}]\in H^3(\mathcal{M}_{\mathrm{lem}},U(1)) || n_{\mathrm{gerbe}}\in \mathbb{Z}",H**3 || G_{mathrm*(t*(o*p))}*(H**3*in) || n_{mathrm*(g*(e*(r*(b*e))))}*(in*(Z*mathbb)),H**3 || G_{mathrm*(t*(o*p))}*(H**3*in) || n_{mathrm*(g*(e*(r*(b*e))))}*(in*(Z*mathbb)),,ID0154,Topological Gerbe Classification,"H^3(\mathcal{M}_{\mathrm{lem}},U(1))\cong \mathbb{Z} || [\mathcal{G}_{\mathrm{top}}]\in H^3(\mathcal{M}_{\mathrm{lem}},U(1)) || n_{\mathrm{gerbe}}\in \mathbb{Z}"
