source_id,target_id,source_kind,target_kind,relation,weight,evidence
L3,LAW136,Lemma,Law,explicit_reference,3,mentions L3
PROP4,LAW136,Proposition,Law,explicit_reference,3,mentions PROP4
PROP1,LAW136,Proposition,Law,explicit_reference,3,mentions PROP1
L2,LAW136,Lemma,Law,explicit_reference,3,mentions L2
PROP3,LAW136,Proposition,Law,explicit_reference,3,mentions PROP3
PROP6,LAW136,Proposition,Law,explicit_reference,3,mentions PROP6
L1,LAW136,Lemma,Law,explicit_reference,3,mentions L1
T8,LAW136,Theorem,Law,explicit_reference,3,mentions T8
PROP4,LAW137,Proposition,Law,explicit_reference,3,mentions PROP4
PROP1,LAW137,Proposition,Law,explicit_reference,3,mentions PROP1
PROP8,LAW137,Proposition,Law,explicit_reference,3,mentions PROP8
PROP7,LAW137,Proposition,Law,explicit_reference,3,mentions PROP7
PROP3,LAW137,Proposition,Law,explicit_reference,3,mentions PROP3
PROP9,LAW137,Proposition,Law,explicit_reference,3,mentions PROP9
T46,LAW137,Theorem,Law,explicit_reference,3,mentions T46
PROP5,LAW137,Proposition,Law,explicit_reference,3,mentions PROP5
L3,LAW138,Lemma,Law,explicit_reference,3,mentions L3
D8011,LAW138,Definition,Law,explicit_reference,3,mentions D8011
PROP4,LAW138,Proposition,Law,explicit_reference,3,mentions PROP4
D7799,LAW138,Definition,Law,explicit_reference,3,mentions D7799
PROP1,LAW138,Proposition,Law,explicit_reference,3,mentions PROP1
PROP3,LAW138,Proposition,Law,explicit_reference,3,mentions PROP3
T58,LAW138,Theorem,Law,explicit_reference,3,mentions T58
D8016,LAW138,Definition,Law,explicit_reference,3,mentions D8016
L3,LAW139,Lemma,Law,explicit_reference,3,mentions L3
PROP4,LAW139,Proposition,Law,explicit_reference,3,mentions PROP4
T88,LAW139,Theorem,Law,explicit_reference,3,mentions T88
PROP1,LAW139,Proposition,Law,explicit_reference,3,mentions PROP1
PROP7,LAW139,Proposition,Law,explicit_reference,3,mentions PROP7
PROP3,LAW139,Proposition,Law,explicit_reference,3,mentions PROP3
PROP8,LAW139,Proposition,Law,explicit_reference,3,mentions PROP8
PROP5,LAW139,Proposition,Law,explicit_reference,3,mentions PROP5
L3,LAW140,Lemma,Law,explicit_reference,3,mentions L3
PROP1,LAW140,Proposition,Law,explicit_reference,3,mentions PROP1
L2,LAW140,Lemma,Law,explicit_reference,3,mentions L2
