symbol,meaning,meaning_source,confidence,occurrence_count,id_count,sample_ids,sample_titles,sample_context,wolfram_symbol
r,Radial scalar from zero-point node,seed:TrawinisticSymbols.wls,high,6994,2112,ID0008; ID0037; ID0039; ID0043; ID0060; ID0085; ID0088; ID0094; ID0096; ID0110; ID0111; ID0112; ID0117; ID0119; ID0122; ID0123; ID0129; ID0130; ID0134; ID0136,Non-Linearity Constant K_NL | Emergent Rotation Principle | Magnetic–Coriolis Energy Equipartition | Helicity Linking Number Universality | Quantum Coherence and Decoherence,Non-Linearity Constant K_NL K_{\mathrm{NL}} = \frac{\lVert \nabla^{2}\Phi \rVert}{\lVert \nabla\Phi \rVert^{2}} || K_{\mathrm{NL}}^{\mathrm{TZP}} = \lim_{x \to p} \frac{\lVert \nabla^{2}\Phi(x) \rVert}{\lVert \nabla\Phi(x) \rVert^{2}},r
mu,"mu parameter: mass, permeability, chemical potential, or measure, context dependent",standard_math,medium,4816,1072,ID0025; ID0026; ID0038; ID0039; ID0040; ID0044; ID0045; ID0050; ID0052; ID0058; ID0059; ID0105; ID0136; ID0150; ID0151; ID0152; ID0153; ID0167; ID0168; ID0174,Conservation Law: TZP Topological Charge | Conservation Law: Information Flux Through TZP | Elsasser Attractor Manifold | Magnetic–Coriolis Energy Equipartition | Universality of Elsasser Criticality,"Conservation Law: TZP Topological Charge Q = \int_{\Sigma} J^{\mu}\, d\Sigma_{\mu} || \nabla^{\mathrm{T}}_{\mu}J^{\mu}=0, \qquad Q=w",mu
T,Temporal gradient (∂/∂t),seed:TrawinisticSymbols.wls,high,3496,1459,ID0006; ID0007; ID0014; ID0015; ID0016; ID0017; ID0018; ID0019; ID0021; ID0022; ID0023; ID0024; ID0025; ID0026; ID0027; ID0028; ID0029; ID0030; ID0031; ID0032,Trawin Base Unit | Temporal Displacement Factor | Inter-Modal Transfer Rate | Spectral Density Index (TZP-Weighted) | Manifold Curvature (TZP Condition),"Trawin Base Unit u_{T} := \oint_{\Gamma} \sqrt{\lvert g \rvert}\, d\ell || \operatorname{Wind}_{p}(\Gamma)=1",T
TBD,vacuum-sector quantity,context_rule,low,3390,3147,ID0003; ID0006; ID0050; ID0070; ID0180; ID0191; ID0192; ID0193; ID0194; ID0195; ID0196; ID0197; ID0198; ID0199; ID0276; ID0334; ID0353; ID0402; ID0405; ID0423,Dimensional Ambiguity at TZP | Trawin Base Unit | Quantum Fields on Curved Manifolds | Quantum Information Units | Stability Threshold at the TZP,"Dimensional Ambiguity at TZP \dim_{p}(M) \in \{n-1,n,n+1\} || \Delta_{\mathrm{branch}} : \Lambda \longrightarrow \{n-1,n,n+1\}",TBD
nu,"nu parameter: frequency, neutrino label, or index, context dependent",standard_math,medium,3321,705,ID0026; ID0052; ID0057; ID0133; ID0150; ID0151; ID0152; ID0153; ID0167; ID0168; ID0174; ID0204; ID0322; ID0335; ID0378; ID0392; ID0394; ID0407; ID0421; ID0435,Conservation Law: Information Flux Through TZP | Vacuum Polarization | Quantum Phase Transitions | Topological Protection via Phase Winding | Stress–Energy Conservation Constraint,"Conservation Law: Information Flux Through TZP \frac{dI}{dt}=0 || I = \int_{\Gamma} T^{\mu\nu}\xi_{\nu}\, d\Sigma_{\mu}",nu
A,Amplitude/acceleration of field,seed:TrawinisticSymbols.wls,high,3177,1524,ID0002; ID0011; ID0021; ID0041; ID0052; ID0057; ID0065; ID0066; ID0067; ID0070; ID0094; ID0104; ID0107; ID0109; ID0118; ID0122; ID0123; ID0133; ID0154; ID0155,Trawinistic Manifold | Causal Loop Invariant | Trawin Characteristic Class | Topological Helicity Quantisation | Vacuum Polarization,"Trawinistic Manifold (M,g)\ \text{is Trawinistic} \quad \Longleftrightarrow \quad \det g\vert_{p}=0 \ \text{and}\ \det g(x)\neq 0 \ \text{for}\ x\neq p || g^{-1}(x)\ \text{exists for}\ x\neq p, \qquad g^{-1}\vert_{p}\ \text{does not exist}",A
R,Rotational / Curl operator,seed:TrawinisticSymbols.wls,high,3099,1365,ID0016; ID0022; ID0044; ID0045; ID0046; ID0050; ID0072; ID0076; ID0092; ID0096; ID0113; ID0126; ID0138; ID0139; ID0153; ID0159; ID0180; ID0200; ID0201; ID0211,Manifold Curvature (TZP Condition) | TZP Curvature Singularity | (μ ∝ M R^2Ω) Universal Scaling Law | Dimensionless Gyromagnetic Coupling Constant | Order-Of-Magnitude Invariance Across 47 Orders of Scale,Manifold Curvature (TZP Condition) R_{T} = \lim_{x \to p}\bigl(R(x)+f(x)\bigr) || R_{T} < \infty \quad \Longleftrightarrow \quad \Gamma \sim \Lambda,R
pi,"Hamiltonian, energy, or field strength depending on context",context_rule,low,3000,1437,ID0020; ID0021; ID0029; ID0043; ID0051; ID0056; ID0097; ID0098; ID0099; ID0110; ID0111; ID0112; ID0113; ID0114; ID0131; ID0132; ID0133; ID0135; ID0136; ID0137,Trawinistic Winding Number | Trawin Characteristic Class | Trawinistic Hamiltonian Density | Helicity Linking Number Universality | Zero-Point Fluctuations,Trawinistic Winding Number w = \frac{1}{2\pi} \oint_{\Gamma} \nabla \theta \cdot d\ell || w \in \tfrac{1}{2}\mathbb{Z},pi
H,"Hamiltonian, energy, or field strength depending on context",context_rule,low,2896,986,ID0021; ID0029; ID0030; ID0031; ID0041; ID0042; ID0048; ID0053; ID0070; ID0071; ID0072; ID0135; ID0140; ID0152; ID0154; ID0156; ID0164; ID0170; ID0202; ID0206,Trawin Characteristic Class | Trawinistic Hamiltonian Density | TZP-Modified Hamiltonian Operator | Hamilton–Jacobi Equation (Trawinistic Form) | Topological Helicity Quantisation,"Trawin Characteristic Class c_{T} = \left[\frac{1}{2\pi}F\right] \in H^{2}(M\setminus\{p\},\mathbb{Z}) || \operatorname{hol}(\mathcal{A}) = w",H
theta,DNA/biological-sector quantity,context_rule,low,2712,915,ID0020; ID0097; ID0100; ID0101; ID0105; ID0110; ID0111; ID0112; ID0113; ID0114; ID0115; ID0119; ID0120; ID0121; ID0143; ID0144; ID0201; ID0212; ID0215; ID0217,Trawinistic Winding Number | Flip–Twist Bridge Transformation | Information Synchronization at the TZP | Helical Standing-Wave Amplification | Master Synchronization Functional,Trawinistic Winding Number w = \frac{1}{2\pi} \oint_{\Gamma} \nabla \theta \cdot d\ell || w \in \tfrac{1}{2}\mathbb{Z},theta
B,vacuum-sector quantity,context_rule,low,2511,1109,ID0037; ID0038; ID0039; ID0040; ID0041; ID0042; ID0055; ID0065; ID0068; ID0076; ID0085; ID0088; ID0094; ID0096; ID0130; ID0156; ID0157; ID0162; ID0165; ID0166,Emergent Rotation Principle | Elsasser Attractor Manifold | Magnetic–Coriolis Energy Equipartition | Universality of Elsasser Criticality | Topological Helicity Quantisation,"Emergent Rotation Principle L = \int_{V} \bigl( \mathbf{r}\times\mathbf{J} \bigr)\,d^{3}x || \frac{dL}{dt} = \int_{V} \bigl( \mathbf{J}\times\mathbf{B} \bigr)\,d^{3}x",B
times,"Hamiltonian, energy, or field strength depending on context",context_rule,low,2252,1089,ID0037; ID0042; ID0043; ID0085; ID0088; ID0090; ID0091; ID0096; ID0113; ID0116; ID0123; ID0158; ID0161; ID0206; ID0208; ID0209; ID0219; ID0242; ID0243; ID0255,Emergent Rotation Principle | Magnetic Helicity as Scale-Invariant Constraint | Helicity Linking Number Universality | Gyromagnetic Genesis Hypothesis | Local Electromagnetic Field–Driven Rotation,"Emergent Rotation Principle L = \int_{V} \bigl( \mathbf{r}\times\mathbf{J} \bigr)\,d^{3}x || \frac{dL}{dt} = \int_{V} \bigl( \mathbf{J}\times\mathbf{B} \bigr)\,d^{3}x",times
TZP,Trawin Zero Point (self-intersection singularity),table:symbol.txt,high,2243,1083,ID0002; ID0003; ID0004; ID0005; ID0007; ID0008; ID0015; ID0016; ID0022; ID0023; ID0024; ID0025; ID0026; ID0028; ID0029; ID0030; ID0033; ID0035; ID0036; ID0041,Trawinistic Manifold | Dimensional Ambiguity at TZP | Metric Degeneracy Condition | TZP Stability Under Symmetry-Preserving Diffeomorphisms | Temporal Displacement Factor,"Trawinistic Manifold (M,g)\ \text{is Trawinistic} \quad \Longleftrightarrow \quad \det g\vert_{p}=0 \ \text{and}\ \det g(x)\neq 0 \ \text{for}\ x\neq p || g^{-1}(x)\ \text{exists for}\ x\neq p, \qquad g^{-1}\vert_{p}\ \text{does not exist}",TZP
