status,reason,segment_count,parsed_segments,parse_errors,parsed_math,macro_boundary,first_error,ID,title,canonical_equation
Passed,,1,1.0,0,"Eq(Limit(gamma(tau), tau, oo, dir='-'), p)","Eq(Limit(gamma(tau), tau, oo, dir='-'), p)",,ID0000,Existence and Uniqueness of the Trawin Zero Point,"\lim_{\tau\to\infty}\gamma(\tau)=p,"
Passed,,2,2.0,0,"forall*(Gamma*(M*subset)) || Eq(Eq(Lambda(0), Lambda(1/2)), p)","forall*(Gamma*(M*subset)) || Eq(Eq(Lambda(0), Lambda(1/2)), p)",,ID0001,Tzp Trawin Zero Point,"\forall \Gamma \subset M,\; \Gamma \sim \Lambda || \Lambda(0)=\Lambda(1/2)=p"
Syntax Error,"(M,g)\ \Longleftrightarrow \det g\vert_{p}=0 \ \ \det g(x)\neq 0 \ \ x\neq p -> LaTeXParsingError: I don't understand this
(M,g)\ \Longleftrightarrow \det g\vert_{p}=0 \ \ \det g(x)\neq 0 \ \ x\neq p
~~~~~^ | g^{-1}(x)\ \ x\neq p, g^{-1}\vert_{p}\ -> LaTeXParsingError: I don't understand this
g^{-1}(x)\ \ x\neq p, g^{-1}\vert_{p}\
~~~~~~~~~^",2,,2,,,,ID0002,Trawinistic Manifold,"(M,g)\ \text{is Trawinistic} \quad \Longleftrightarrow \quad \det g\vert_{p}=0 \ \text{and}\ \det g(x)\neq 0 \ \text{for}\ x\neq p || g^{-1}(x)\ \text{exists for}\ x\neq p, \qquad g^{-1}\vert_{p}\ \text{does not exist}"
Passed,,2,2.0,0,in*dim_{p}(M) || Delta_{mathrm*(b*(r*(a*(n*(c*h)))))}/Lambda,in*dim_{p}(M) || Delta_{mathrm*(b*(r*(a*(n*(c*h)))))}/Lambda,,ID0003,Dimensional Ambiguity at TZP,"\dim_{p}(M) \in \{n-1,n,n+1\} || \Delta_{\mathrm{branch}} : \Lambda \longrightarrow \{n-1,n,n+1\}"
Partial Parse,Some segments need cleanup,2,1.0,1,"Eq(det*(g*vert_{p}), 0)","Eq(det*(g*vert_{p}), 0)","g^{-1}\vert_{p}\ , \det g(x)\neq 0 \ \ x\neq p -> LaTeXParsingError: I don't understand this
g^{-1}\vert_{p}\ , \det g(x)\neq 0 \ \ x\neq p
~~~~~~~~~~~~~~~^",ID0004,Metric Degeneracy Condition,"\det g\vert_{p}=0 || g^{-1}\vert_{p}\ \text{does not exist}, \qquad \det g(x)\neq 0 \ \text{for}\ x\neq p"
Passed,,2,2.0,0,"phi/M || Eq(phi(Lambda), Lambda)","phi/M || Eq(phi(Lambda), Lambda)",,ID0005,TZP Stability Under Symmetry-Preserving Diffeomorphisms,"\phi : M \to M, \qquad \phi(p)=p || \phi(\Lambda)=\Lambda"
Passed,,2,2.0,0,"Eq(u_{T}, oint_{Gamma}*(dell*sqrt(lvert*(g*rvert)))) || operatorname*(W*(i*(d*n)))","Eq(u_{T}, oint_{Gamma}*(dell*sqrt(lvert*(g*rvert)))) || operatorname*(W*(i*(d*n)))",,ID0006,Trawin Base Unit,"u_{T} := \oint_{\Gamma} \sqrt{\lvert g \rvert}\, d\ell || \operatorname{Wind}_{p}(\Gamma)=1"
Syntax Error,"\alpha_{T} = \frac{dt'}{dt} -> LaTeXParsingError: I don't understand this
\alpha_{T} = \frac{dt'}{dt}
~~~~~~~~~~~~~~~~~~~~~^ | \alpha_{T}^{\mathrm{TZP}} = \lim_{\gamma \to p} \frac{dt'}{dt} -> LaTeXParsingError: I don't understand this
\alpha_{T}^{\mathrm{TZP}} = \lim_{\gamma \to p} \frac{dt'}{dt}
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^",2,,2,,,,ID0007,Temporal Displacement Factor,\alpha_{T} = \frac{dt'}{dt} || \alpha_{T}^{\mathrm{TZP}} = \lim_{\gamma \to p} \frac{dt'}{dt}
Passed,,2,2.0,0,"Eq(K_{mathrm*(L*N)}, (lVert*(nabla**2*(Phi*rVert)))/((lVert*(nabla*(Phi*rVert**2))))) || Eq(K_{mathrm*(L*N)}**(mathrm*(T*(P*Z))), Limit((lVert*(nabla**2*(rVert*Phi(x))))/((lVert*(nabla*(rVert**2*Phi(x))))), x, p, dir='+-'))","Eq(K_{mathrm*(L*N)}, (lVert*(nabla**2*(Phi*rVert)))/((lVert*(nabla*(Phi*rVert**2))))) || Eq(K_{mathrm*(L*N)}**(mathrm*(T*(P*Z))), Limit((lVert*(nabla**2*(rVert*Phi(x))))/((lVert*(nabla*(rVert**2*Phi(x))))), x, p, dir='+-'))",,ID0008,Non-Linearity Constant K_NL,K_{\mathrm{NL}} = \frac{\lVert \nabla^{2}\Phi \rVert}{\lVert \nabla\Phi \rVert^{2}} || K_{\mathrm{NL}}^{\mathrm{TZP}} = \lim_{x \to p} \frac{\lVert \nabla^{2}\Phi(x) \rVert}{\lVert \nabla\Phi(x) \rVert^{2}}
Partial Parse,Some segments need cleanup,2,1.0,1,mathcal*(U*(ni*p)),mathcal*(U*(ni*p)),"S_{\mathrm{HD}} = \int_{\mathcal U} \sqrt{\lvert \det h \rvert} d^{n}x -> LaTeXParsingError: I expected one of these: '^'
S_{\mathrm{HD}} = \int_{\mathcal U} \sqrt{\lvert \det h \rvert} d^{n}x
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^",ID0009,Hyper-Dimensional Span,"S_{\mathrm{HD}} := \int_{\mathcal U} \sqrt{\lvert \det h \rvert}\, d^{n}x || \mathcal U \ni p, \qquad \dim_{p}(M)\in\{n-1,n,n+1\}"
